prompt,model_answer,predict_proba
Кем был отец Эвмена из Кардии согласно версии историка Дурида Самосского?,"Отец Эвмена из Кардии, согласно версии историка Дурида Самосского, был человеком по имени Мантикл.",
В каком году был предложен термин «протеомика»?,Термин «протеомика» был впервые предложен в 1997 году.,
"Какое явление, описывающее дискретный набор значений угла наклона плоскости орбиты электрона в атоме водорода относительно полярной оси, было открыто Арнольдом Зоммерфельдом при рассмотрении системы с тремя степенями свободы?","Арнольд Зоммерфельд открыл квантование углового момента электрона в атоме водорода, что привело к появлению понятия ""квантовые числа"". В частности, он рассматривал систему с тремя степенями свободы и обнаружил, что угол наклона плоскости орбиты электрона может принимать только определенные дискретные значения. Это стало одним из первых примеров квантования физических вели",
Какое прозвище носил персонаж по имени Арчибальд «Арчи» Айвс в фильме «Большой побег»?,"В фильме ""Большой побег"" персонаж по имени Арчибальд ""Арчи"" Айвс носил прозвище ""Саксон"".",
В каком году Джанет Джексон получила награду «Грэмми» за лучшую песню в стиле ритм-н-блюз за композицию «That's The Way Love Goes»?,Джанет Джексон получила премию «Грэмми» за лучшую песню в стиле ритм-н-блюз за композицию «That's The Way Love Goes» в 1994 году.,
Кто является разработчиком и издателем игры New Super Mario Bros. для консоли Nintendo DS?,"Разработчиком игры ""New Super Mario Bros."" для консоли Nintendo DS является компания Nintendo, а издателем также выступает компания Nintendo.",
"Сколько франков составляла ежегодная пенсия, присуждённая Луи Пастеру французским государством после 1882 года?","После того как Луи Пастер стал знаменитым благодаря своим открытиям в области вакцинации и пастеризации, французский государство решило вознаградить его за заслуги перед науцией. В 1882 году ему была назначена пожизненная ежегодная пенсия в размере 25 тысяч франков. Эта сумма была значительной для того времени и подчёркивала важность вклада Пастера в развитие науки и медицины.",
Кто возглавил правый фланг римской армии в битве при Метавре?,"В битве при Метавре, которая произошла 20 июля 207 года до н. э., командовал правым флангом римской армии консул Гай Клавдий Нерон.",
"Кто, согласно завещанию Лоренцо ди Креди, является душеприказчиком и вероятной моделью для портрета «Женский портрет (Джиневра ди Джованни ди Никколо?)», хранящегося в музее Метрополитен?","Согласно завещанию Лоренцо ди Креди, его душеприказчиком был Франческо дель Чосса. А вероятной моделью для портрета «Женский портрет» была Джиневра ди Джованни ди Никколо.",
В честь кого посвящён роман Стивена Кинга «Мобильник»?,Роман Стивена Кинга «Мобильник» посвящён его другу и коллеге по жанру ужасов Питеру Страубу.,
"Какой тип паровоза был указан в предварительном проекте мощного товарного паровоза, завершённом в конце апреля 1930 года на ТБ ОГПУ?","В предварительном проекте мощного товарного паровоза, завершённом в конце апреля 1930 года на ТБ ОГПУ, был указан тип паровоза **ФД** (Феликс Дзержинский).",
"У кого из родителей Герард Терборх, вероятно, перенял навыки изображения материалов?","Герард Терборх, голландский художник XVII века, был сыном художника Питера Корнелиса Терборха. Вероятно, он унаследовал свои художественные навыки от своего отца, который также был художником и занимался живописью.",
Кем был подписан «Новый японо-корейский договор о сотрудничестве» 24 июля 1907 года?,«Новый японо-корейский договор о сотрудничестве» был подписан 24 июля 1907 года премьер-министром Японии Ито Хиробуми и корейским министром иностранных дел Ли Ван Ёном.,
Какое название была присвоена улице Маршала в Петрозаводске 1 декабря 1942 года оккупационным разведывательным отделом?,Улица Маршала в Петрозаводске была переименована в улицу Карла Маркса 1 декабря 1942 года оккупационными властями.,
В каком году до н. э. родился Ганнибал?,Ганнибал Барка родился в 247 году до нашей эры.,
В каком году было первое упоминание о газете в Пекине в эпоху династии Мин?,Первое упоминание о газете в Пекине относится к эпохе династии Мин и датируется 1582 годом.,
Где хранится авторская рукопись песни «Вечер на рейде»?,Авторская рукопись песни «Вечер на рейде» находится в Государственном архиве Российской Федерации (ГАРФ).,
Какая синхронная камера была разработана в СССР в 1933 году на основе американских прототипов?,"В 1933 году в СССР была разработана синхронная камера под названием ""КСМ"" (Кинематографическая Съемочная Машина). Она была создана на основе американских прототипов и стала первым отечественным серийным киносъемочным аппаратом с возможностью съемки нескольких кадров одновременно.",
Кем работала Франциска Шанцковская на заводе компании «AEG» в 1915 году?,"Франциска Шанцковская работала на заводе компании ""AEG"" в 1915 году как машинистка.",
"Кому в новогоднем обращении 31 декабря 1999 года Борис Ельцин попросил прощения за то, что оказался в чём-то «слишком наивным»?","В новогоднем обращении к гражданам России 31 декабря 1999 года Борис Ельцин попросил прощения у всех граждан страны за то, что оказался в чём-то «слишком наивным».",
В каком возрасте умер Владимир Яковлевич Ворошилов?,Владимир Яковлевич Ворошилов скончался 26 декабря 1999 года в возрасте 78 лет.,
"Кто, согласно тексту, привез историю древних Афин из Египта, которая упоминается в начале диалога Платона «Тимей»?","Согласно диалогу Платона «Тимей», историю древних Афин из Египта привез Солон, афинский мудрец и законодатель.",
В каком году Карл Мэлоун был введён в Зал славы баскетбола?,Карл Мэлоун был введён в Зал баскетбольной славы в 2010 году.,
"Как называется область вокруг горизонта событий чёрной дыры Керра, внутри которой телам невозможно покоиться относительно удалённых наблюдателей?","Область вокруг горизонта событий чёрной дыры Керра, внутри которой телам невозможно покоиться относительно удалённых наблюдателей, называется эргосферой.",
"Как называется первый успешный регтайм Скотта Джоплина, обложка нот которого показана в статье?","Первый успешный регтайм Скотта Джоплина называется ""Maple Leaf Rag"".",
Кто лично утверждал списки персонажей для картины «Парад 6 октября 1831 года в Петербурге»?,"Списки персонажей для картины «Парад 6 октября 1831 года в Петербурге», написанной художником Францем Алексеевичем Рубо, утверждались лично императором Николаем I.",
В каком году Даниэль получил растение с клубневидными корнями и «муфтой» у основания стебля в ходе своих 26-летних экспериментов по прививке топинамбура на подсолнечник?,Даниэль получил такое растение в 1975 году.,
В каком году была выпущена игра Puzzle Quest: Galactrix?,Игра Puzzle Quest: Galactrix была выпущена в 2009 году.,
Какой статус присвоен австралийскому совиному козодою Международным союзом охраны природы?,Статус австралийского совиного козодоя (Podargus strigoides) по данным Международного союза охраны природы (МСОП) — «Наименее обеспокоенный» (Least Concern).,
"В каком году выплаты и льготы, полученные населением СССР из общественных фондов потребления, выросли с 41,9 до 90,1 млрд рублей?","Выплаты и льготы населению СССР из общественных фондов потребления увеличились с 41,9 до 90,1 млрд рублей в 1975 году.",
Кто стал главным тренером футбольного клуба «Шериф» 30 апреля 2019 года?,Главным тренером футбольного клуба «Шериф» 30 апреля 2019 года был назначен Александр Спиридон.,
В каком издании и в каком году вышла статья киноведа Андрея Зоркого «Точное московское время» о фильме «Я шагаю по Москве»?,"Статья киноведа Андрея Зоркого «Точное московское время» о фильме «Я шагаю по Москве» была опубликована в журнале «Искусство кино» № 10, 1967 года.",
Кто убедил американские власти задержать вылет самолёта Ил-62М «Аэрофлота» в аэропорту имени Кеннеди 24 августа 1979 года?,"Задержка вылета самолета Ил-62М «Аэрофлота» в аэропорту имени Кеннеди 24 августа 1979 года была вызвана опасениями американских властей относительно возможной угрозы безопасности. В то время США и СССР находились в состоянии холодной войны, и любые действия или перемещения советских самолетов вызывали подозрения и опасения у американских спецслужб.",
"Кто, согласно хронике Георгия Кедрина, явился ко двору императора Василия II с отрядом в 800 человек и отказался разоружиться?","Согласно «Хронике» Георгия Кедрина, ко двору императора Василия II явились норманны во главе с неким Аматом, которые отказались разоружиться.",
"Кто стали первой официально зарегистрированной однополой парой в Германии, заключившей гражданское партнёрство 1 августа 2001 года в Ганновере?","Первой официально зарегистрированной однополой парой в Германии, заключившей гражданское партнёрство 1 августа 2001 года в Ганновере, были Андреас и Томас.",
В каком году родился Бобби Орр?,Бобби Орр родился 20 марта 1948 года в США.,
Как переводится подзаголовок игры Kinetic ★ Connection ② O Hanaba Take?,"Подзаголовок игры ""Kinetic ★ Connection ② O Hanaba Take"" переводится как ""Kinetic ★ Connection 2: О Ханаба Таке"".",
Кого Гней Корнелий Сципион Кальв взял в плен вместе с царём илергетов Индебилом после битвы при Циссисе?,Гней Корнелий Сципион Кальв взял в плен вместе с царём илергетов Индебилом его брата Ката.,
Кто из троих членов президиума Еврейского антифашистского комитета не был арестован на момент разгона комитета?,"На момент разгона Еврейского антифашистского комитета в 1948 году были арестованы все его члены, кроме одного — Соломон Михоэлс. Он был убит в январе 1948 года, и его смерть была использована как предлог для начала репрессий против членов комитета.",
"Какое название, данное по имени сына Чингисхана Чагатаю, использовалось для обозначения независимой Тартарии в Мавераннахре?",Название «Чагатайский улус» использовалось для обозначения независимой Тартарии в Мавераннахре.,
Кто сменил Роджерса Хорнсби на посту менеджера «Чикаго Кабс» 2 августа?,На пост менеджера «Чикаго Кабс» 2 августа 1947 года был назначен Лео Дрекселл.,
"Какой фермент впервые был описан у тропических злаков, играет важную роль в С4-фотосинтезе и участвует в глюконеогенезе у Acetobacter?","Фермент, который впервые был описан у тропических злаков, играет важную роль в С4-фотосинтезе и участвует в глюконеогенезе у Acetobacter, называется **фосфоенолпируваткарбоксикиназа** (PEP-карбоксилаза).",
"Кто является сценаристами комикса «Метеора», издававшегося Bubble Comics с 2014 по 2018 год?",Сценаристом комикса «Метеора» от издательства Bubble Comics был Алексей Замский.,
"Кто приказал рабу пронзить себя мечом после того, как был ранен стрелой в правую руку во время битвы при Каррах?","В битве при Каррах, которая произошла в 53 году до н. э., римский полководец Марк Лициний Красс столкнулся с парфянской армией под командованием Сурена. В ходе сражения Красс был ранен стрелой в правую руку и потерял сознание. Его приближённые решили, что он мёртв, и покинули поле боя. Однако Красс пришёл в себя и приказал своему рабу Публию, который также был ранен, пронзить его мечом, чтобы избежать позора плена или смерти на вражеской земле.",
В каком городе назван индийский сорт бананов «Майсур»?,"Индийский сорт бананов «Майсур» назван в честь города Майсур (ныне Бангалор), который находится на юге Индии. Этот город был столицей княжества Майсур и известен своей богатой историей и культурой.",
"Как называются картины Джузеппе Арчимбольдо, изображающие «составленные головы», которые он создал для императоров Максимилиана II и Рудольфа II?","Картины Джузеппе Арчимбольдо, изображающие «составленные головы», называются «Портреты составленных голов» или «Композиции из предметов».",
"Какие два вида животных составляли основную массу костей животных, обнаруженных на поселении Варварина Гора?",На поселении Варварина Гора основную массу костей животных составляли кости крупного рогатого скота и свиней.,
Кто приказал переправиться через реку Тицин перед битвой при Тицине?,В битве при Тицине в 218 году до н. э. римский полководец Публий Корнелий Сципион приказывал переправляться через реку Тицин.,
"В каком году впервые были отчеканены первые крейцеры — серебряные гроссо герцога Каринтии и Крайны, графа Тироля Мейнхарда II?",Первые крейцеры были отчеканены в 1278 году.,
Сколько человек помиловал губернатор Техаса Лоуренс Салливан Росс за четыре года своего пребывания в должности?,Губернатор Техаса Лоуренс Салливан Росс помиловал 150 человек за время своего пребывания на посту губернатора с 1891 по 1895 год.,
Кто в 1175 году возглавлял большую валлийскую делегацию на совете Генриха II в Глостере?,"В 1175 году большую валлийскую делегацию на совете Генриха II в Глостере возглавлял Грифид ап Рис, правитель Гвинеда.",
"Как называются объекты, зная период пульсаций которых, можно определить их светимость и использовать как стандартные свечи для измерения расстояния до галактик?","Объекты, которые используются в качестве стандартных свечей для измерения расстояний до галактик на основе периода их пульсаций, называются **цефеидами** или переменными звездами типа RR Lyrae.",
В каком году Энн Бронте опубликовала роман «Незнакомка из Уайлдфелл-Холла»?,Роман «Незнакомка из Уайлдфелл-Холла» был опубликован в 1848 году.,
"Как называлась песня группы «Наутилус Помпилиус» на пластинке альбома «Князь тишины», которая первоначально называлась «Последнее письмо»?","Песня, которая изначально называлась «Последнее письмо», была выпущена в альбоме «Князь тишины». В этом альбоме она получила название «Я хочу быть как все».",
Кто стал первым выпускником очной докторантуры Военного института радиоэлектроники?,"Первым выпускником очной докторантуры Военного института радиоэлектроники стал доктор технических наук, профессор Владимир Николаевич Гапонов.",
Кем был свергнут Ромул Август 4 сентября 476 года?,"Ромул Август был свергнут Одоакром, вождем германских наемников в Западной Римской империи.",
Кто был назначен скульптором для создания Мемориала Королевской артиллерии в начале 1921 года?,В начале 1921 года скульптором для создания Мемориала Королевской артиллерии был назначен сэр Эдвард Джеймс Локе (Sir Edward James Larke).,
"Кто является автором пьесы «Весна в январе», на которой основан фильм «Андерграунд»?",Автором пьесы «Весна в январе» является сербский драматург и писатель Душан Ковачевич.,
Какой городской аэропорт был детально воссоздан в качестве достопримечательности в игре серии Midnight Club?,В игре серии Midnight Club в качестве одной из достопримечательностей был воссоздан аэропорт Лос-Анджелеса (LAX).,
"Куда высадился Шехзаде Яхья в 1639 году, узнав о заговоре своих греческих спутников?","В 1639 году Шехзаде Яхья высадился на острове Лесбос, чтобы избежать участия в заговоре своих греческих спутников.",
В каком году состоялся выпуск переиздания альбома Майкла Джексона «Bad 25»?,Альбом Майкла Джексона «Bad 25» был выпущен в 2012 году.,
"Какой журнал назвал альбом Майкла Джексона «Dangerous» триумфальным, отметив, что он не скрывает страхов и противоречий жизни, проведённой в центре внимания?","Журнал Rolling Stone назвал альбом Майкла Джексона «Dangerous» триумфальным, отметив, что он не скрывает страхов и противоречий жизни, проведённой в центре внимания.",
С кем совместно Сэмюэл Абрахам Гаудсмит совершил открытие спина электрона?,Сэмюэл Абрахам Гаудсмит совместно с Джорджем Юджином Уленбеком совершили открытие спина электрона в 1925 году.,
Какой предельный радиус (расстояние до школы) в верстах принимался в плотно населённых губерниях центральной России при построении школьных сетей в рамках программы Земской школы?,"В рамках программы ""Земская школа"" в России был установлен предельный радиус (расстояние до школы) в 3 версты для плотно населённых губерний Центральной России.",
"Какое количество сантиметров составляла длина затылочно-теменной раны цесаревича Николая, полученной во время Инцидента в Оцу?","Длина затылочно-теменной раны цесаревича Николая, полученной во время инцидента в Оцу, составляла 10 см.",
Какое пророчество получил Александр I Эпирский в храме Зевса в Додоне перед своим походом в Италию?,"Александр I Эпирский получил пророчество о том, что он станет царем Македонии и будет править долго и счастливо. Это пророчество было получено им в храме Зевса в Додоне перед его походом в Италию.",
В каком году состоялась свадьба дочери Генриха I Матильды и императора Священной Римской империи Генриха V?,Свадьба дочери английского короля Генриха I Матильды и императора Священной Римской империи Генриха V состоялась в 1114 году.,
Кто был первым самарским воеводой и основателем крепости Самара?,Первым самарским воеводой и основателем крепости Самара был князь Василий Андреевич Серкизов. Он был назначен на эту должность в 1586 году по указу царя Фёдора Иоанновича.,
"Какого животного первым описал Пьер Белон, увидев его тушку на рынках Константинополя?","Пьер Белон первым описал животное, которое он увидел в виде тушки на рынках Константинополя. Это был **крокодил**.",
Какая дата отмечается в настоящее время в Сукабуми как день основания города?,"В настоящее время в городе Сукабуми, Индонезия, отмечается 10 ноября как День основания города.",
Кто написал саундтрек к мультфильму «Земля до начала времён»?,Саундтрек к мультфильму «Земля до начала времён» был написан композитором Джеймсом Хорнером.,
В какой стране Browning M1918 оставался на вооружении Национальной гвардии с 1930-х годов до победы Сандинистской революции летом 1979 года?,Browning M1918 оставался на вооружении Национальной гвардии Никарагуа с 1930-х годов до победы Сандинистской революции в июле 1979 года.,
Кто в 357 году до н. э. возглавил пятитысячную армию и без боя занял Сиракузы?,В 357 году до н. э. армия под командованием Дионисия Старшего заняла Сиракузы без боя.,
С кем из правителей Вифинии Митридат VI заключил альянс во время своей тайной поездки в 109—108 годах до н. э.?,Во время своего тайного путешествия в 109—108 годах до н. э. Митридат VI заключил союз с царём Каппадокии Ариаратом VI.,
"Как называется змей в германо-скандинавской мифологии, который опоясывает Землю и укусил себя за хвост?","Змей в германо-скандинавской мифологии, который опоясывает Землю и кусает себя за хвост, называется Ёрмунганд или Мировой Змей. Он является одним из детей Локи и великанши Ангрбоды. Ёрмунганд был настолько огромен, что его невозможно было измерить, и он обвился вокруг Земли, держа её в своих объятиях. В конце концов, во время Рагнарёка (гибели богов), Ёрмунганд выйдет из моря и сразится с богом Тором, убив друг друга.",
В каком году был пущен первый гидроагрегат Ульбинской ГЭС?,Первый гидроагрегат Ульбинской ГЭС был пущен в 1960 году.,
"Какой концептуальный текст Фрэнсиса Фукуямы редактор журнала Policy Review назвал «каноническим текстом» для молодых неоконсерваторов, повлиявшим на внешнеполитический курс Джорджа Буша-мл.?","Концептуальный текст Фрэнсиса Фукуямы, который редактор журнала Policy Review назвал «каноническим текстом» для молодых неоконсерваторов и который повлиял на внешнеполитический курс Джорджа Буша-младшего, называется «Конец истории».",
В каком году состоялся релиз альбома «Морская» группы «Мумий Тролль» в России?,Альбом «Морская» группы «Мумий Тролль» был выпущен в России в 1997 году.,
Кто был назначен правительством Азербайджана генерал-губернатором Карабаха и Зангезура в январе 1919 года?,В январе 1919 года правительство Азербайджанской Демократической Республики назначило **Али Мамед беком Гулиевым** на должность генерал-губернатора Карабаха и Зангезура.,
Кто был доставлен на собрание на кладбище Сент-Уан 26 февраля под угрозой разграбления дома и убийства семьи?,"На собрании в Сент-Уане 26 февраля 1793 года были доставлены члены королевской семьи: король Людовик XVI, его жена Мария-Антуанетта и их дети Луи-Шарль и Мария-Тереза.",
Сколько качественно различных слоёв реального бытия выделяет Николай Гартман?,"Николай Гартман в своей философии выделял четыре качественно различных слоя реального бытия:

1. **Физический слой** — это мир объектов и явлений, которые воспринимаются нашими органами чувств. В этом слое существуют физические объекты, такие как камни, деревья, животные и т.д.

2. **Психологический слой** — здесь находятся психические процессы и состояния человека, включая мысли, чувства, желания и воспоминания. Этот слой включает в себя внутренний мир человека.

3. **Социальный слой** — этот слой охватывает общественные структуры и отношения между людьми. Здесь можно найти институты, законы, традиции и культурные нормы.

4. **Нравственный слой** — последний из четырёх слоев, который связан с моральными ценностями и этическими принципами. Он включает в себя понятия добра и зла, справедливости и несправедливости.

Эти слои представляют собой иерархическую структуру реальности, где каждый последующий слой является более сложным и фундаментальным по сравнению с предыдущим.",
В каком году в письме сестре Агнес впервые упоминается персонаж Иуда Бен-Гур?,Персонаж Иуда Бен-Гур впервые упоминается в письме сестре Агнес в 1874 году.,
Когда Конгресс США утвердил строительство линейных кораблей «Флорида» и «Юта»?,Конгресс США утвердил строительство линейных кораблей «Флорида» и «Юта» в 1908 году.,
"Кто был первым монархом, коронованным в Кафедральном соборе Палермо в качестве правителя Сицилийского королевства 25 декабря 1130 года?","Первым монархом, коронованным в Кафедральном соборе Палермо в качестве правителя Сицилийского королевства 25 декабря 1130 года, был Рожер II.",
"Какой музыкальный коллектив выпустил в 2018 году альбом, посвящённый музыкальной истории Сиэтла, в котором заглавная песня «Rainier Fog» содержала строки, посвящённые Лейну Стейли и Майку Старру?","В 2018 году американский рок-коллектив Alice in Chains выпустил альбом под названием ""Black Gives Way to Sky"". Этот альбом был посвящен музыкальной истории Сиэтла и включал песню ""Rainier Fog"", которая содержит строки, посвященные покойному вокалисту группы Layne Staley и гитаристу Mike Starr.",
В 1999 году журнал Time поставил Пикачу на какое место в своём списке «Лучших людей года»?,"Пикачу занял **2-е** место в списке журнала Time ""Лучшие люди года"" в 1999 году.",
"Кем был спроектирован мемориал-некрополь сражавшихся и погибших сечевых стрельцов на горе Маковка, открытый в августе 1999 года?",Мемориал-некрополь на горе Маковка был спроектирован архитектором **Виталием Каминским**.,
Какую книгу Борис Дмитриевич Парыгин опубликовал в 1966 году в московском издательстве «Мысль»?,В 1966 году в московском издательстве «Мысль» Борис Дмитриевич Парыгин опубликовал книгу «Социальная психология как наука».,
Кто в начале марта 1378 года сопровождал Оттона Брауншвейгского в качестве представителя Джованны на конференцию в Сарцану?,В начале марта 1378 года в качестве представителя королевы Джованны на конференции в Сарцане сопровождали Оттона Брауншвейгского кардинал Николай Альбергати и кардинал Петр Фьески.,
Кто в 1514 году предоставил Ричарду де ла Полю 12 тысяч ландскнехтов для вторжения в Англию?,В 1514 году Ричард де ла Поль получил от французского короля Людовика XII 12 тысяч ландскнехтов для вторжения в Англию.,
"В романе Стивена Кинга «Противостояние» вирус гриппа вырвался из секретной лаборатории Министерства обороны США, расположенной в пустыне Мохаве; в каком городе штата Техас автомобиль охранника Чарльза Кэмпиона, заражённого вирусом, врезался в автозаправку, что стало началом эпидемии?",Город — **Остин**.,
Какой законодательный акт от 16 июня 1870 года стал основным документом Городской реформы Александра II?,"Основным документом Городской реформы Александра II стал «Городовое положение» от 16 июня 1870 года. Этот закон установил новую систему городского самоуправления в Российской империи и определил порядок выборов в городские органы власти, а также их полномочия и обязанности.",
В каком году вышла книга Джона Бормана «Rotfigurige Vasen aus Athen. Die klassische Zeit. Ein Handbuch»?,Книга Джона Бормана «Rotfigurige Vasen aus Athen. Die klassische Zeit. Ein Handbuch» была опубликована в 1985 году.,
Какой зоолог описал фламинго Джеймса в 1886 году?,Фламинго Джеймса был описан американским орнитологом и зоологом Фрэнком Миллзом Бейкером в 1886 году.,
"Как называется действительная часть комплексного показателя преломления, которая связана с фазовой скоростью электромагнитной волны?","Действительная часть комплексного показателя преломления, связанная с фазовой скоростью электромагнитной волны, называется **показателем преломления**.",
Кто из вратарей был назначен основным в сборной Германии по футболу перед чемпионатом мира 2006 года?,Перед Чемпионатом мира 2006 года основной вратарь сборной Германии по футболу был Мануэль Нойер.,
Кому был подарен первый отчеканенный доллар Лафайета в футляре?,Первый отчеканенный доллар Лафайета был подарен Джорджу Вашингтону.,
"Кто был выслан из Дании в 1768 году по настоянию Холька, лишив королеву Каролину Матильду Великобританскую единственного близкого человека при дворе?","В 1768 году из Дании был выслан английский врач и друг королевы Каролины Матильды, Джон Стюарт, граф Бьюкенен. Он был близок к королеве и имел большое влияние на неё, что вызывало недовольство короля Кристиана VII и его фаворита Фридриха фон Холька. В результате давления со стороны Холька король приказал выслать Стюарта из страны, что стало большим ударом для Каролины Матильды, которая потеряла своего единственного близкого человека при дворе.",
"Кого в басне Дениса Давыдова «Орлица, Турухтан и Тетерев» 1804 года под именем турухтана подразумевается император Павел I?","В басне Дениса Давыдова «Орлица, Турухтан и Тетерев», написанной в 1804 году, под именем Турухтана подразумевается император Павел I.",
